title,price,rating,reviews,availability
"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera","₹17,998",3.8 out of 5 stars,428 ratings,In stock
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","₹56,790",4.1 out of 5 stars,54 ratings,In stock
"Samsung Galaxy M35 5G (Daybreak Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","₹14,999",4.1 out of 5 stars,"8,154 ratings",In stock
"Nothing Phone (3A) 5G (Black, 8GB RAM, 256GB Storage)","₹26,110",4.3 out of 5 stars,18 ratings,Only 1 left in stock.
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","₹6,498",4.0 out of 5 stars,"2,571 ratings",In stock
"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger","₹10,698",3.3 out of 5 stars,30 ratings,In stock
POCO C61 Mystical Green 4GB RAM 64GB ROM,"₹5,799",4.0 out of 5 stars,236 ratings,In stock
"Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Charcoal","₹1,199",4.0 out of 5 stars,"152,245 ratings",In stock
"iQOO Z9 Lite 5G (Mocha Brown, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box","₹11,498",4.1 out of 5 stars,"4,008 ratings",In stock
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 256GB Storage)","₹20,998",4.1 out of 5 stars,"5,450 ratings",In stock
"Samsung Galaxy M16 5G (Mint Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | Super Amoled Display | 25W Fast Charging | 6 Gen. of OS Upgrades | Without Charger","₹12,998",3.6 out of 5 stars,52 ratings,In stock
Apple iPhone 15 (128 GB) - Black,"₹61,400",4.5 out of 5 stars,"3,269 ratings",In stock
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","₹7,498",4.0 out of 5 stars,"2,498 ratings",In stock
"Nokia 105 Classic | Single SIM Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio, Without Charger | Charcoal",₹999,3.8 out of 5 stars,"16,465 ratings",In stock
"Redmi 14C 5G (Starlight Blue, 6GB RAM, 128GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88”) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","₹11,499",3.8 out of 5 stars,293 ratings,In stock
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)","₹17,998",4.1 out of 5 stars,"5,450 ratings",In stock
"Nothing Phone (2a) 5G (Black, 8GB RAM, 128GB Storage) | 6.7"" AMOLED Display | 50MP (OIS) + 50 MP | 32 MP Front | Mediatek Dimensity 7200 Pro Processor | Glyph Interface | 45 W Charging 100% in 59 mins","₹18,727",4.2 out of 5 stars,220 ratings,In stock
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)","₹17,998",4.1 out of 5 stars,"5,450 ratings",In stock
CMF BY NOTHING Phone 1 5G (128 GB) (8 GB RAM) (Black),"₹14,304",4.1 out of 5 stars,185 ratings,In stock
"OnePlus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)","₹23,998",4.2 out of 5 stars,"8,009 ratings",In stock
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Black, 12GB RAM, 256GB Storage), 200MP Camera, S Pen Included, Long Battery Life","₹1,29,999",4.2 out of 5 stars,109 ratings,Only 2 left in stock.
"Lava O3 Pro (Glossy Purple, 4 GB RAM, 128 GB Storage)| Bigger 6.56"" HD+ Display | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery | 10W Charging | Charger in Box","₹6,998",3.8 out of 5 stars,92 ratings,In stock
